company,ticker,exchange,date,analyst_name,question,label
Helen of Troy Limited,HELE,NASDAQ,2024-07-09,Peter Grom,"Okay. That's really helpful. And then just maybe two quick follow-ups. Just on the outdoor declines, can you maybe just talk about the channel more broadly? A lot of the commentary seems to be concentrated in packs rather than weakness across the entire channel, but I'm not sure if that's a fair read or not. And then on Hydro Flask, you mentioned you're disappointed with North America performance, maybe could you unpack that a bit more? Is that a function of category softness? Or are you seeing share losses versus some of the brands in the category. Thanks.",Alarmed
Amdocs Limited,DOX,NASDAQ,2024-11-12,Tal Liani,"I normally don't give compliments to management teams on the call, but I want to give you a compliment for the transparency and great detail in your presentation. Very clear. But now comes the tough question. You pay for it now. I want to continue the last question in a different angle. So if I remove the 600 million, I'm still at the same growth rate of last year, which means, and that's the midpoint, which means the environment. So I assume, I just assumed that the 600 million didn't have a high growth rate. So that means the core business is x the 600 million is likely continuing the same weakness of last year. And the question is about the spending environment. I don't have, I don't think looking at your presentation, which is excellent and understanding what you're doing. I don't think we had any concerns whatsoever with what you offer with your portfolio, with your added value, but we do have a concern over the spending environment. So can you take us through what happened in 2024, meaning how the environment deteriorated? What have you seen in 2024 and your expectations for 2025 when it comes to the spending environment, to the willingness of customers to spend money on these kinds of projects and what changes the current weakness that we're seeing?",Alarmed
ORIX Corporation,IX,NYSE,2024-11-11,Naruhiko Sakamaki,"Yes. It's Sakamaki from Mizuho Securities. I have 1 question. So the asset, the credit status of your assets, I would like to confirm. So data book on Page 27 or 28. Using this, if you could respond, that will be helpful. So the concerns that I have are the allowance for the credit loss from end of June, we can see the trend. But as you explained in the U.S., the credit, you're very prudent in provisioning and perhaps there are some concerns. So why did your concern come down since then?",Alarmed
News Corporation,NWSA,NASDAQ,2024-11-09,Entcho Raykovski,"Hi, Robert. Hi, Susan. Before I ask my questions, Susan, all the best for life after News Corp. So my question is really two-fold. Firstly, looking at advertising at Dow Jones, it has suffered and it's underperformed some peers. I mean, you obviously acknowledged some of the weakness and I get that it's a smaller part of the segment, but are there any business-specific issues or factors which are causing this and what is your thinking around when we might see a recovery? And just secondly, the Foxtel shareholder loans, I think I can probably say that there has been a more recent repayment. Are you able to give us an indication of where they sit now post that repayment, and apologies if I missed this. Thank you.",Alarmed
Citigroup Inc.,C,NYSE,2024-07-12,Mike Mayo,"Hi. Could you elaborate more on the amended consent order? Jane, you said it was disappointing to have gotten that this week. It's almost four years into the consent order. And a little bit why it hasn't been resolved? And what's on the -- that's the loss column, and maybe a little bit more on the win column, too. I mean you have, what, 12,000 people thrown at the problem, billions of dollars. Is it not enough people? Not enough money? Is it -- do you need to look at it in a different way? Are you not talking the same language? I mean, you have John Dugan as your Lead Independent Director, exit of the OCC, and it seems like you got your report card, I guess you passed overall, they went out of the way to say some nice things, but it looks like you got failing grades and data and regulatory management. So, your confidence is going to be resolved, but it's already been four years and it hasn't been resolved. So, what is it going to take from here? And how can you resolve the regulatory concerns while continuing or serving shareholders better? And then, in the win column, since it's so nebulous this back-office, what are you achieving? You mentioned some items, but you could put more meat on those bones? Thanks.",Alarmed
"PepsiCo, Inc.",PEP,NASDAQ,2024-07-11,Kevin Grundy,"Great, thanks. Good morning, everyone. Covered a lot of ground, and not to beat a dead horse, but just to drill down a couple of areas, Ramon, if we could on the demand weakness in snack. So you mentioned some parts of the portfolio, but not all consumers. I apologize if I missed this. What are you seeing beyond the low income consumer? It's a lot of focus on where's the consumer and depends on which management call you're listening to or what industry frankly. What are you seeing specifically with the middle and high-end consumer? Is the weakness also being seen among that cohort as well? And then I think an important question as well, is there anything you're seeing in your market research? I know you're staying close to the consumer that gives you any pause with the longer term outlook for the Frito business, which has been so strong for so long. Is there anything there that kind of gives you pause or you do this to be entirely transitory? So thanks for that.",Alarmed
Soho House & Co Inc.,SHCO,NYSE,2024-12-19,Steven Zaccone,"Congratulations on the offer. Maybe, Thomas, could we just talk through some of the last commentary you gave there about the guidance change. So it sounds like $21 million reduction in EBITDA, approximately half of that we should think is onetime in nature as we think about next year? And then just on the cadence of like-for-like sales. When you talked about some of that weakness in October and then things got better in November, was there notable differences by region, like was it primarily continued weakness in the US underperforming? Any geographical comment would be helpful there.",Alarmed
Soho House & Co Inc.,SHCO,NYSE,2024-12-19,Stephen Grambling,"And then I think I heard in this -- this has come up a couple of times, but you made a comment that the third quarter like-for-like in North America, I think, was weaker, then it's been choppy October, November time frame. And I think you touched on this a little bit, maybe I missed it. But just is there -- are there specific houses in the third quarter? Like when you put on a broader lens, what do you think has been driving some of that choppy behavior?",Alarmed
"Lamb Weston Holdings, Inc.",LW,NYSE,2024-12-19,Alexia Howard,"Can I turn to the demand side of the equation? We've talked a lot about capacity and competitors this morning. What is your research telling you about the reasons for the weak consumer demand? And I imagine the reasons might be quite different between U.S. and Europe. And specifically, are you seeing any impact at the moment about on the uptake of GLP-1 weight loss drugs, particularly here in the U.S.? I'm just wondering how that informs your expectations about an improvement in demand going forward? And then I have a follow-up. Thank you.",Alarmed
Ark Restaurants Corp.,ARKR,NASDAQ,2024-12-17,Jeffrey Kaminski,"Right. Okay. All right. Fair enough. And then second question, with respect to -- Mike, you had mentioned twice in this call, the stock price going back to when you negotiated the Tampa deal. And with respect to these write-offs, these impairment charges, again, tied into the stock price. Labor costs are what they are, they may have stabilized, but I don't see them. You may really disagree on and going down considerably. Insurance costs may stabilize maybe they won't, but again I don't see them coming down. So some of these headwinds exist in the future regardless. Food prices will be volatile, cost of crab, again, volatile. A question I have asked recurring here on these calls, as a shareholder, the share price -- it's hard to benchmark Ark Restaurants against other stocks, but there is a risk on ETF, there are restaurant and leisure indexes, if you will. By any benchmark, Ark stock has dramatically underperformed in years. So you talked about trying to acquire other properties. Right now, that doesn't seem to be happening. There was -- introduced to us probably six months ago, a new concept, the Asian concept that you're working on three months ago. You gave us a progress report. I asked then, if it's successful, what do you expect in terms of revenues and how you've been scaling up? Just looking for some tidbits here as to -- as a shareholder, what's going to drive the stock higher? What are we waiting for? I mean, are you waiting for another acquisition? Or we waiting for the Asian concept to keep up? Or do we think we're going to wake up one day and all of a sudden, labor costs are going to be down and insurance is going to be down? Just give us a little color and guidance as to what we can expect as shareholders?",Alarmed
Adobe Inc.,ADBE,NASDAQ,2024-12-12,Keith Weiss,"Excellent. All right. Thank you guys for taking the question. A lot of excitement from you guys on the conference call about the pace of innovation going on in the business, and we hear that excitement from creative professionals and they talk about an acceleration in the pace of innovation, but apologies to state the obvious, but investors aren't feeling that excitement or aren't showing that excitement. The stock is a major underperformer on a year-to-date basis and it's down again on an after-hours basis today. And I would point to it's the lack of acceleration that we're seeing in the numbers, right? Digital Media net new ARR this quarter grew just -- or in Creative Cloud grew 2%. You're guiding to decelerating growth into the forward year despite all this innovation. And I think the question that it brings up in investors' mind is there's some leak in the bucket, right? All this innovation, new monetization avenues, pricing going up, but the growth is going in the wrong direction. Like is there a part of the equation that's not working? Is there share losses? Is there something that we're not seeing that is taking away that momentum in the numbers that's not -- because we're not seeing the acceleration in the numbers, if you will?",Alarmed
Bank of Montreal,BMO,NYSE,2024-12-05,Darko Mihelic,"Hi, thank you. good morning. I'll be really quick. Piyush, with respect to the learnings and everything you sort of laid out for us in terms of trying to help us assess sort of what went wrong, can you maybe help size this for us? So, for example, if it's the 2021 vintage, there were a higher hold levels at that time, but what's the impairment of that portfolio? What's the size of that portfolio? And how should we think about the comfort level going forward? And I say this from a position of knowing that last year, you were comfortable going forward with credit quality. So, can you maybe size for us that vintage side -- the hold size that went wrong and how that's working through the system today and why that gives you comfort?",Alarmed
Bank of Montreal,BMO,NYSE,2024-12-05,Darko Mihelic,"Okay. And the 2022 vintage, why is there no concern with that vintage of loans?",Alarmed
"Nutanix, Inc.",NTNX,NASDAQ,2024-11-26,Nehal Chokshi,"Yes, thank you. And congrats on this really strong new logo up 50% year-over-year. That's really impressive. I'm trying to put though why is ARR decelerating given this strong land that you're seeing? And then if I look at the incremental ARR i.e. to change quarter-over-quarter for October quarter relative to the year ago quarter that was down a lot as well. So thoughts on why are there such a weak incremental ARR characteristics, especially given the backdrop that you're having such strong land metrics.",Alarmed
