company,ticker,exchange,date,analyst_name,question,label
"Ameresco, Inc.",AMRC,NYSE,2024-11-07,Sam Kusswurm,"Yes, maybe more related now to your supply chain, too. I think you mentioned maybe, George, in previous quarters that your supply chain and labor were kind of constraints that hadn't yet improved, but were sort of stabilized, which made it possible planned around. I'm curious how you characterize the market -- yes, how would you characterize that today?",
GMS Inc.,GMS,NYSE,2024-12-05,Jeffrey Stevenson,"Did you guys see a deceleration in single-family demand as we move through the quarter and into November as the industry enters an air pocket from slower single-family starts earlier this year? And if so, are you expecting the air pocket in demand to last multiple quarters on the single-family side?",
"NIKE, Inc.",NKE,NYSE,2024-12-19,Bob Drbul,"Elliott, welcome back. Congratulations and best of luck.",
"Moderna, Inc.",MRNA,NASDAQ,2024-11-15,Evan Wang,"In terms of -- I guess, do you expect any kind of impact of new administration on FDA, CDC or the ACIP in terms of, I guess, data requirements for a new vaccine or newer vaccines.",
"BellRing Brands, Inc.",BRBR,NYSE,2024-11-19,Thomas Palmer,"Hi. Good morning and thanks for the question. I just hope to get a quick refresher on your pricing plans. It sounds like you instituted the price increase in the fourth quarter for Premier. And then it did not sound like they were planned last time around on Dymatize. Is that still the case? And then just any magnitude of kind of thinking through the price increase this year and, I guess, confirming that it's just that one round on Premier. Thank you.",
Jack in the Box Inc.,JACK,NASDAQ,2024-11-20,Dennis Geiger,"Great. Thanks, guys. I wanted to see if you could talk a little bit more about the Taco refranchising and kind of what feedback you've had there, how demand has been? Any kind of updates that you could give on the timeline or milestones as we think about franchise percent levels, obviously seeing good progress, getting good agreements tied to those sales. But just any other update and -- as we look ahead to potential milestones? Thank you.",
Hormel Foods Corporation,HRL,NYSE,2024-12-04,Heather Jones,"Good morning. Thanks for the question. I guess my first question is wondering, it sounds like as part of the T&M initiative there could be further SKU rationalization. So I was just wondering if the sales and volume guidance you gave, I know it excludes the Hormel Health Labs, but does it anticipate further SKU rationalization?",
"Rubrik, Inc.",RBRK,NYSE,2024-12-05,Kash Rangan,"Hi, thanks very much. Congratulations to the Rubrik team. My question to you, Bipul, is -- and I have one for Kiran as well. You've always maintained the view that the TAM for Rubrik in this cycle is not just a replacement of the legacy technology, but also participation of the broader pool available to you in cybersecurity, right? I mean that would make it truly a more sustainable growth company. I'm wondering if you could point to any evidence in the quarter and evidence in the pipeline that you see that the TAM in cybersecurity, which is a vast bigger pool of spending than the legacy business and how that is helping your business? And are you able to participate in those new budgets? And also Kiran, congratulations on the operating efficiency improvement. How sustainable is this improvement that we saw going forward? Thank you so much.",
"MACOM Technology Solutions Holdings, Inc.",MTSI,NASDAQ,2024-11-07,Tore Svanberg,"Very good. And that's my follow-up. I had a question for you Steve. So the market is moving quickly to 200gig per lien as you said. And there's sort of a big debate going on between all these various technologies optical versus copper, linear versus TSP and so on and so forth. The great thing for you is that you have exposure to everything. So I'm just wondering from your perspective and especially in relation to optical versus copper, how do you think the market is going to play out for 200gig per lane?",
Sezzle Inc.,SEZL,NASDAQ,2024-11-09,Charlie Youakim,"Karen, do you have any of that data like at your fingertips?",
